USAF,WBAN,YR--MODAHRMN,DIR,SPD,GUS,CLG,SKC,L,M,H,VSB,MW,MW,MW,MW,AW,AW,AW,AW,W,TEMP,DEWP,SLP,ALT,STP,MAX,MIN,PCP01,PCP06,PCP24,PCPXX,SD
744860,94789,2014123119,250,13,***,***,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,31,7,1024.8,*****,1023.9,34,28,*****,*****,*****,*****,**
744860,94789,2014123119,250,15,***,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,31,7,1024.5,30.26,1023.9,***,***,0,*****,*****,*****,**
744860,94789,2014123120,250,13,***,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,31,8,1024,30.24,1023.2,***,***,0,*****,*****,*****,**
744860,94789,2014123121,230,15,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,30,12,1023.2,30.22,1022.5,***,***,0,*****,*****,*****,**
744860,94789,2014123122,230,15,***,***,***,*,*,*,10,**,**,**,**,**,**,**,**,*,30,12,1023.2,*****,1022.2,***,***,*****,*****,*****,*****,**
744860,94789,2014123122,240,18,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,31,13,1022.7,30.2,1021.8,***,***,0,*****,*****,*****,**
744860,94789,2014123123,260,15,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,30,11,1022.7,30.2,1021.8,34,28,0,*****,*****,*****,**
744860,94789,2014123123,***,***,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,****,****,******,*****,******,34,***,*****,*****,0,*****,0
744860,94789,2015010100,260,13,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,29,11,1021.8,30.18,1021.2,31,29,0,*****,*****,*****,**
744860,94789,2015010101,260,13,***,***,***,*,*,*,10,**,**,**,**,**,**,**,**,*,29,11,1021.8,*****,1020.9,34,28,*****,*****,*****,*****,**
744860,94789,2015010101,250,14,***,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,29,13,1021.4,30.16,1020.5,***,***,0,*****,*****,*****,**
744860,94789,2015010102,250,14,***,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,29,11,1021.2,30.16,1020.5,***,***,0,*****,*****,*****,**
744860,94789,2015010103,260,17,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,29,8,1020.8,30.15,1020.1,***,***,0,*****,*****,*****,**
744860,94789,2015010104,260,17,***,***,***,*,*,*,10,**,**,**,**,**,**,**,**,*,29,8,1020.8,*****,1019.9,***,***,*****,*****,*****,*****,**
744860,94789,2015010104,270,14,23,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,29,7,1021.1,30.16,1020.5,***,***,0,*****,*****,*****,**
744860,94789,2015010105,260,16,21,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,28,8,1021.9,30.18,1021.2,***,***,0,*****,*****,*****,**
744860,94789,2015010106,280,14,23,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,29,6,1021.9,30.18,1021.2,30,28,0,*****,*****,*****,**
744860,94789,2015010107,280,14,***,***,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,29,6,1021.9,*****,1020.9,34,28,*****,*****,*****,*****,**
744860,94789,2015010107,260,14,***,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,29,9,1022.2,30.19,1021.5,***,***,0,*****,*****,*****,**
744860,94789,2015010108,270,11,***,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,31,7,1022.3,30.19,1021.5,***,***,0,*****,*****,*****,**
744860,94789,2015010109,270,17,***,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,33,5,1022.9,30.21,1022.2,***,***,0,*****,*****,*****,**
744860,94789,2015010110,270,17,***,***,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,33,5,1022.9,*****,1021.9,***,***,*****,*****,*****,*****,**
744860,94789,2015010110,250,14,23,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,34,7,1021.7,30.17,1020.8,***,***,0,*****,*****,*****,**
744860,94789,2015010111,240,26,31,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,36,8,1019.9,30.12,1019.1,***,***,0,*****,*****,*****,**
744860,94789,2015010112,240,23,30,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,38,9,1018.3,30.07,1017.4,38,28,0,*****,*****,*****,**
744860,94789,2015010113,240,23,***,***,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,38,9,1018.3,*****,1017.2,38,28,*****,*****,*****,*****,**
744860,94789,2015010113,240,17,***,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,39,11,1017.2,30.04,1016.4,***,***,0,*****,*****,*****,**
744860,94789,2015010114,240,20,29,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,40,12,1016.6,30.02,1015.8,***,***,0,*****,*****,*****,**
744860,94789,2015010115,240,20,25,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,39,14,1016.2,30.01,1015.4,***,***,0,*****,*****,*****,**
744860,94789,2015010116,240,20,***,***,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,39,14,1016.2,*****,1015.1,***,***,*****,*****,*****,*****,**
744860,94789,2015010116,230,23,30,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,39,16,1016.1,30.01,1015.4,***,***,0,*****,*****,*****,**
744860,94789,2015010117,220,22,29,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,39,17,1016.4,30.02,1015.8,***,***,0,*****,*****,*****,**
744860,94789,2015010118,220,18,***,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,39,17,1016.4,30.02,1015.8,40,38,0,*****,*****,*****,**
744860,94789,2015010119,220,18,***,***,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,39,17,1016.4,*****,1015.5,40,28,*****,*****,*****,*****,**
744860,94789,2015010119,220,22,***,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,38,17,1016.6,30.02,1015.8,***,***,0,*****,*****,*****,**
744860,94789,2015010120,230,21,29,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,39,18,1016.6,30.02,1015.8,***,***,0,*****,*****,*****,**
744860,94789,2015010121,230,21,28,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,38,19,1016.7,30.03,1016.1,***,***,0,*****,*****,*****,**
744860,94789,2015010122,230,21,***,***,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,38,19,1016.7,*****,1015.8,***,***,*****,*****,*****,*****,**
744860,94789,2015010122,230,16,***,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,37,20,1017.3,30.04,1016.4,***,***,0,*****,*****,*****,**
744860,94789,2015010123,250,10,***,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,36,22,1017.4,30.05,1016.8,40,28,0,*****,*****,*****,**
744860,94789,2015010123,***,***,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,****,****,******,*****,******,40,***,*****,*****,0,*****,0
744860,94789,2015010200,230,13,***,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,35,22,1017.2,30.04,1016.4,39,35,0,*****,*****,*****,**
744860,94789,2015010201,230,13,***,***,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,35,22,1017.2,*****,1016.1,39,28,*****,*****,*****,*****,**
744860,94789,2015010201,250,13,***,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,37,20,1017.7,30.06,1017.1,***,***,0,*****,*****,*****,**
744860,94789,2015010202,240,13,***,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,36,23,1018.6,30.08,1017.8,***,***,0,*****,*****,*****,**
744860,94789,2015010203,260,14,***,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,37,21,1018.6,30.08,1017.8,***,***,0,*****,*****,*****,**
744860,94789,2015010204,260,14,***,***,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,37,21,1018.6,*****,1017.5,***,***,*****,*****,*****,*****,**
744860,94789,2015010204,260,14,***,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,37,19,1019.1,30.1,1018.5,***,***,0,*****,*****,*****,**
744860,94789,2015010205,260,15,***,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,37,19,1020.3,30.13,1019.5,***,***,0,*****,*****,*****,**
744860,94789,2015010206,260,14,***,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,37,18,1021.7,30.17,1020.8,38,35,0,*****,*****,*****,**
744860,94789,2015010207,260,14,***,***,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,37,18,1021.7,*****,1020.5,40,35,*****,*****,*****,*****,**
744860,94789,2015010207,250,13,***,250,***,*,*,*,10,**,**,**,**,**,**,**,**,*,37,18,1022.6,30.2,1021.8,***,***,0,*****,*****,*****,**
744860,94789,2015010208,250,17,***,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,39,18,1023.4,30.22,1022.5,***,***,0,*****,*****,*****,**
744860,94789,2015010209,260,21,***,65,***,*,*,*,10,**,**,**,**,**,**,**,**,*,41,18,1023.9,30.24,1023.2,***,***,0,*****,*****,*****,**
744860,94789,2015010210,260,21,***,***,BKN,*,*,*,10,**,**,**,**,**,**,**,**,*,41,18,1023.9,*****,1022.9,***,***,*****,*****,*****,*****,**
744860,94789,2015010210,270,20,28,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,42,18,1023.8,30.24,1023.2,***,***,0,*****,*****,*****,**
744860,94789,2015010211,280,18,28,250,***,*,*,*,10,**,**,**,**,**,**,**,**,*,43,17,1023.4,30.22,1022.5,***,***,0,*****,*****,*****,**
744860,94789,2015010212,280,18,25,250,***,*,*,*,10,**,**,**,**,**,**,**,**,*,44,17,1023.3,30.22,1022.5,44,37,0,*****,*****,*****,**
744860,94789,2015010213,280,18,***,***,BKN,*,*,*,10,**,**,**,**,**,**,**,**,*,44,17,1023.3,*****,1022.2,44,37,*****,*****,*****,*****,**
744860,94789,2015010213,280,14,24,250,***,*,*,*,10,**,**,**,**,**,**,**,**,*,44,16,1023.1,30.22,1022.5,***,***,0,*****,*****,*****,**
744860,94789,2015010214,260,17,***,250,***,*,*,*,10,**,**,**,**,**,**,**,**,*,44,18,1024.3,30.25,1023.5,***,***,0,*****,*****,*****,**
744860,94789,2015010215,280,18,***,250,***,*,*,*,10,**,**,**,**,**,**,**,**,*,43,15,1024.9,30.27,1024.2,***,***,0,*****,*****,*****,**
744860,94789,2015010216,280,18,***,***,BKN,*,*,*,10,**,**,**,**,**,**,**,**,*,43,15,1024.9,*****,1023.9,***,***,*****,*****,*****,*****,**
744860,94789,2015010216,280,10,***,250,***,*,*,*,10,**,**,**,**,**,**,**,**,*,41,16,1025.8,30.29,1024.9,***,***,0,*****,*****,*****,**
744860,94789,2015010217,270,11,***,250,***,*,*,*,10,**,**,**,**,**,**,**,**,*,41,17,1026.8,30.33,1026.2,***,***,0,*****,*****,*****,**
744860,94789,2015010218,280,10,***,250,***,*,*,*,10,**,**,**,**,**,**,**,**,*,40,18,1028,30.36,1027.3,45,40,0,*****,*****,*****,**
744860,94789,2015010219,280,10,***,***,BKN,*,*,*,10,**,**,**,**,**,**,**,**,*,40,18,1028,*****,1027,45,35,*****,*****,*****,*****,**
744860,94789,2015010219,280,11,***,250,***,*,*,*,10,**,**,**,**,**,**,**,**,*,40,18,1028.9,30.39,1028.3,***,***,0,*****,*****,*****,**
744860,94789,2015010220,280,8,***,250,***,*,*,*,10,**,**,**,**,**,**,**,**,*,40,18,1029.8,30.41,1028.9,***,***,0,*****,*****,*****,**
744860,94789,2015010221,290,7,***,250,***,*,*,*,10,**,**,**,**,**,**,**,**,*,38,19,1030.3,30.43,1029.6,***,***,0,*****,*****,*****,**
744860,94789,2015010222,290,7,***,***,BKN,*,*,*,10,**,**,**,**,**,**,**,**,*,38,19,1030.3,*****,1029.3,***,***,*****,*****,*****,*****,**
744860,94789,2015010222,350,9,***,250,***,*,*,*,10,**,**,**,**,**,**,**,**,*,37,19,1031,30.45,1030.3,***,***,0,*****,*****,*****,**
744860,94789,2015010223,10,9,***,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,35,21,1031.8,30.47,1031,45,35,0,*****,*****,*****,**
744860,94789,2015010223,***,***,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,****,****,******,*****,******,45,***,*****,*****,0,*****,0
744860,94789,2015010300,360,8,***,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,35,20,1032.1,30.48,1031.3,40,35,0,*****,*****,*****,**
744860,94789,2015010301,360,8,***,***,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,35,20,1032.1,*****,1031,40,35,*****,*****,*****,*****,**
744860,94789,2015010301,40,3,***,240,***,*,*,*,10,**,**,**,**,**,**,**,**,*,33,19,1032.5,30.49,1031.7,***,***,0,*****,*****,*****,**
744860,94789,2015010302,***,0,***,250,***,*,*,*,10,**,**,**,**,**,**,**,**,*,33,19,1033.2,30.51,1032.3,***,***,0,*****,*****,*****,**
744860,94789,2015010303,***,0,***,200,***,*,*,*,10,**,**,**,**,**,**,**,**,*,32,20,1034.2,30.54,1033.3,***,***,0,*****,*****,*****,**
744860,94789,2015010304,***,0,***,***,BKN,*,*,*,10,**,**,**,**,**,**,**,**,*,32,20,1034.2,*****,1033.1,***,***,*****,*****,*****,*****,**
744860,94789,2015010304,***,0,***,240,***,*,*,*,10,**,**,**,**,**,**,**,**,*,31,20,1034.7,30.56,1034,***,***,0,*****,*****,*****,**
744860,94789,2015010305,60,6,***,240,***,*,*,*,10,**,**,**,**,**,**,**,**,*,30,20,1035.3,30.57,1034.4,***,***,0,*****,*****,*****,**
744860,94789,2015010306,50,8,***,260,***,*,*,*,10,**,**,**,**,**,**,**,**,*,31,21,1035.7,30.59,1035,35,30,0,*****,*****,*****,**
